ObjectID,Artist,Nationality,Gender,Department,DateAcquired
95406,Ryoko Aoki,Japanese,Female,Drawings,2005
95407,Ryoko Aoki,Japanese,Female,Drawings,2005
95408,Ryoko Aoki,Japanese,Female,Drawings,2005
95409,Ryoko Aoki,Japanese,Female,Drawings,2005
95410,Ryoko Aoki,Japanese,Female,Drawings,2005
95411,Polly Apfelbaum,American,Female,Drawings,2005
95412,Kevin Appel,American,Male,Drawings,2005
95413,Kevin Appel,American,Male,Drawings,2005
95414,Philip Argent,British,Male,Drawings,2005
95415,Philip Argent,British,Male,Drawings,2005
95416,Carla Arocha,Venezuelan,Female,Drawings,2005
95417,Carla Arocha,Venezuelan,Female,Drawings,2005
95418,Richard Artschwager,American,Male,Drawings,2005
95419,Richard Artschwager,American,Male,Drawings,2005
95420,Richard Artschwager,American,Male,Drawings,2005
95421,Richard Artschwager,American,Male,Drawings,2005
95422,Richard Artschwager,American,Male,Drawings,2005
95423,Eve Aschheim,American,Female,Drawings,2005
95424,Eve Aschheim,American,Female,Drawings,2005
95425,Eve Aschheim,American,Female,Drawings,2005
95426,Martin Assig,German,Male,Drawings,2005
95427,Martin Assig,German,Male,Drawings,2005
95428,Martin Assig,German,Male,Drawings,2005
95429,Martin Assig,German,Male,Drawings,2005
95430,Martin Assig,German,Male,Drawings,2005
95431,assume vivid astro focus,unknown,unknown,Drawings,2005
95432,assume vivid astro focus,unknown,unknown,Drawings,2005
95433,assume vivid astro focus,unknown,unknown,Drawings,2005
95434,assume vivid astro focus,unknown,unknown,Drawings,2005
95435,assume vivid astro focus,unknown,unknown,Drawings,2005
95437,Frank Auerbach,British,Male,Drawings,2005
95438,Nina Lola Bachhuber,German,Female,Drawings,2005
95439,Nina Lola Bachhuber,German,Female,Drawings,2005
95440,Jo Baer,American,Female,Drawings,2005
95441,Jo Baer,American,Female,Drawings,2005
95442,Jo Baer,American,Female,Drawings,2005
95443,Jo Baer,American,Female,Drawings,2005
95444,Monika Baer,German,Female,Drawings,2005
95445,Monika Baer,German,Female,Drawings,2005
95446,John Baldessari,American,Male,Drawings,2005
95447,John Baldessari,American,Male,Drawings,2005
95448,Miroslaw Balka,Polish,Male,Drawings,2005
95449,Chris Ballantyne,American,Male,Drawings,2005
95450,Chris Ballantyne,American,Male,Drawings,2005
95451,Joan Banach,American,Female,Drawings,2005
95452,Joan Banach,American,Female,Drawings,2005
95453,Joan Banach,American,Female,Drawings,2005
95454,Joan Banach,American,Female,Drawings,2005
95455,Joan Banach,American,Female,Drawings,2005
95456,Claire Barclay,Scottish,Female,Drawings,2005
95457,Matthew Barney,American,Male,Drawings,2005
95458,Robert Barry,American,Male,Drawings,2005
95459,Robert Barry,American,Male,Drawings,2005
95460,Robert Barry,American,Male,Drawings,2005
95461,Robert Barry,American,Male,Drawings,2005
95462,Robert Barry,American,Male,Drawings,2005
95463,Robert Barry,American,Male,Drawings,2005
95464,Robert Barry,American,Male,Drawings,2005
95465,Robert Barry,American,Male,Drawings,2005
95466,Jennifer Bartlett,American,Female,Drawings,2005
95467,Hernan Bas,American,Male,Drawings,2005
95468,Hernan Bas,American,Male,Drawings,2005
95469,Hernan Bas,American,Male,Drawings,2005
95470,Hernan Bas,American,Male,Drawings,2005
95471,Hernan Bas,American,Male,Drawings,2005
95472,Hernan Bas,American,Male,Drawings,2005
95473,Hernan Bas,American,Male,Drawings,2005
95474,Georg Baselitz,German,Male,Drawings,2005
